id,audio_path,cefr_level,text
1,audio\A1_1.mp3,A1,I like to draw pictures of animals in my free time as a fun hobby
10,audio\A1_10.mp3,A1,
100,audio\A1_100.mp3,A1,we learn new things in school everyday
101,audio\A1_101.mp3,A1,I like to eat sandwiches for lunch because they are quick and tasty
102,audio\A1_102.mp3,A1,every morning Sarah brushes her teeth before eating breakfast
103,audio\A1_103.mp3,A1,I like to draw colorful pictures in my spare time
104,audio\A1_104.mp3,A1,I travel to new cities to meet different people and learn about their culture
105,audio\A1_105.mp3,A1,I clean the office every day to keep it neat and tidy
106,audio\A1_106.mp3,A1,in school we learn about different animals and their habitats
107,audio\A1_107.mp3,A1,I like to eat apples and bananas for a healthy snack
108,audio\A1_108.mp3,A1,every morning I eat breakfast with my family before I go to school
109,audio\A1_109.mp3,A1,Sarah loves to draw pictures of animals in her spare time
11,audio\A1_11.mp3,A1,I like to eat apples with peanut butter as a snack
110,audio\A1_110.mp3,A1,I take the train to visit my grandma in the countryside
111,audio\A1_111.mp3,A1,my mom works in an office and answers phone calls all day
112,audio\A1_112.mp3,A1,at school I learn about animals and plants in science class
113,audio\A1_113.mp3,A1,I like to eat sandwiches with cheese and tomatoes for lunch
114,audio\A1_114.mp3,A1,every morning I wake up and have breakfast with my family before going to work
115,audio\A1_115.mp3,A1,Sally loves to paint colorful pictures in her free time
116,audio\A1_116.mp3,A1,while in London Anna rode the double-decker bus to see famous landmarks
117,audio\A1_117.mp3,A1,I work at a bakery and sell delicious pastries every day
118,audio\A1_118.mp3,A1,during school we learn how to read and write
119,audio\A1_119.mp3,A1,good for your eyes
12,audio\A1_12.mp3,A1,every morning John walks his dog in the park before starting work
120,audio\A1_120.mp3,A1,every morning Alice drinks a cup of tea and reads the newspaper before going to work
121,audio\A1_121.mp3,A1,my friend likes to paint pictures of colorful flowers in her free time
122,audio\A1_122.mp3,A1,Caitlin took the bus to visit her grandmother in the countryside
123,audio\A1_123.mp3,A1,working hard is important to have money for your family
124,audio\A1_124.mp3,A1,at school we learn about numbers and how to count them
125,audio\A1_125.mp3,A1,I like to eat sandwiches with cheese for lunch
126,audio\A1_126.mp3,A1,every morning I start my day with a hot cup of coffee before heading to work
127,audio\A1_127.mp3,A1,my favorite hobby is drawing pictures of cute animals
128,audio\A1_128.mp3,A1,I travel to the beach and enjoyed swimming in the sea
129,audio\A1_129.mp3,A1,at work I answer phone calls and help customers
13,audio\A1_13.mp3,A1,I enjoy playing with my pet rabbit in the park as my favorite hobby
130,audio\A1_130.mp3,A1,at school I learn about numbers and shapes in my math class
131,audio\A1_131.mp3,A1,I enjoy eating juicy apples as a healthy snack
132,audio\A1_132.mp3,A1,every morning I drink a glass of milk for breakfast
133,audio\A1_133.mp3,A1,I like to paint colorful pictures in my free time
134,audio\A1_134.mp3,A1,traveling by train is a fun way to see new places
135,audio\A1_135.mp3,A1,after work I like to relax at home and watch TV
136,audio\A1_136.mp3,A1,at school children learn to write their names for the first time
137,audio\A1_137.mp3,A1,about food I like to eat juicy apples and crunchy carrots for a healthy snack
138,audio\A1_138.mp3,A1,every morning I eat breakfast and then walk to school with my friends
139,audio\A1_139.mp3,A1,sure I like dancing because it makes me happy
14,audio\A1_14.mp3,A1,on my vacation I wrote a double decker bus to see the famous landmarks in the city
140,audio\A1_140.mp3,A1,during my trip I saw a big mountain
141,audio\A1_141.mp3,A1,Samantha Works in a bakery making delicious pastries every morning
142,audio\A1_142.mp3,A1,I play with my friends during recess at school
143,audio\A1_143.mp3,A1,the boy ate a delicious apple for his afternoon snack
144,audio\A1_144.mp3,A1,every morning I wake up early and have a delicious breakfast before going to school
145,audio\A1_145.mp3,A1,I like to draw pictures of animals in my spare time
146,audio\A1_146.mp3,A1,I am going to visit my friend in a beautiful city next weekend
147,audio\A1_147.mp3,A1,at work I use a computer to send emails and write reports
148,audio\A1_148.mp3,A1,in school we learn about animals and plants
149,audio\A1_149.mp3,A1,my favorite food is juicy strawberries
15,audio\A1_15.mp3,A1,she works in a busy restaurant as a server
150,audio\A1_150.mp3,A1,every morning I wake up eat breakfast and go to school
151,audio\A1_151.mp3,A1,my hobby is collecting seashells on the beach because I love their different shapes and colors
152,audio\A1_152.mp3,A1,while traveling abroad remember to pack your passport and travel documents to ensure a smooth Journey
153,audio\A1_153.mp3,A1,everyday I go to work and help customers find what they need
154,audio\A1_154.mp3,A1,in school we learn how to read and write
155,audio\A1_155.mp3,A1,Sarah likes to eat juicy apples for a healthy snack
156,audio\A1_156.mp3,A1,every morning I eat cereal for breakfast with my family
157,audio\A1_157.mp3,A1,one of my favorite hobbies is painting pictures of colorful flowers
158,audio\A1_158.mp3,A1,I want to visit a beautiful beach to relax and swim in the clear blue water
159,audio\A1_159.mp3,A1,evening shifts can be tiring but the teamwork makes it better
16,audio\A1_16.mp3,A1,there are many happy students playing games in the schoolyard during the break time
160,audio\A1_160.mp3,A1,I go to school to learn and play with my friends
161,audio\A1_161.mp3,A1,I like to eat apple pie with a scoop of vanilla ice cream for dessert
162,audio\A1_162.mp3,A1,every morning Tim brushes his teeth before heading to work
163,audio\A1_163.mp3,A1,I enjoy painting pictures of colorful flowers as a hobby
164,audio\A1_164.mp3,A1,I go on a train to see the big city
165,audio\A1_165.mp3,A1,I clean the office every day to keep it tidy
166,audio\A1_166.mp3,A1,during recess the students like to play games in the schoolyard
167,audio\A1_167.mp3,A1,about food my favorite snack is crunchy popcorn flavored with butter and salt
168,audio\A1_168.mp3,A1,every morning Sarah wakes up early to walk her dog in the park
169,audio\A1_169.mp3,A1,I like painting pictures of colorful flowers in my free time
17,audio\A1_17.mp3,A1,I like to eat apples because they are juicy and sweet
170,audio\A1_170.mp3,A1,she goes to the beach by bus and enjoys the warm sun
171,audio\A1_171.mp3,A1,I work at a bakery making delicious cakes
172,audio\A1_172.mp3,A1,at school we learn how to write our names in cursive
173,audio\A1_173.mp3,A1,I like to eat juicy apples for a healthy snack
174,audio\A1_174.mp3,A1,every morning I wake up early and eat a delicious breakfast before going to work
175,audio\A1_175.mp3,A1,I like to draw colorful pictures of animals as my favorite hobby
176,audio\A1_176.mp3,A1,I want to visit Paris to see the Eiffel Tower
177,audio\A1_177.mp3,A1,my brother works at a bakery and he loves to bake cookies
178,audio\A1_178.mp3,A1,walking to school is fun because I can see my friends and learn new things
179,audio\A1_179.mp3,A1,after dinner I like to eat a sweet and juicy Apple for dessert
18,audio\A1_18.mp3,A1,every morning Sarah eats a big breakfast before walking to school
180,audio\A1_180.mp3,A1,every morning I eat cereal for breakfast before going to school
181,audio\A1_181.mp3,A1,my hobby is painting cute animals on colorful rocks
182,audio\A1_182.mp3,A1,I go by bus to visit my grandmother in the next town
183,audio\A1_183.mp3,A1,working at the grocery store is fun because I get to help customers find the items they need
184,audio\A1_184.mp3,A1,my classmates and I learn new words in English class everyday at school
185,audio\A1_185.mp3,A1,I like to eat juicy apples and crunchy carrots for a healthy snack
186,audio\A1_186.mp3,A1,every morning she wakes up early to walk her dog in the park
187,audio\A1_187.mp3,A1,I like to collect colorful seashells on the beach as a hobby
188,audio\A1_188.mp3,A1,my friends and I went to the beach on the weekend for a fun trip
189,audio\A1_189.mp3,A1,I work in a store and help customers find what they need
19,audio\A1_19.mp3,A1,I like to draw pictures of animals in my free time
190,audio\A1_190.mp3,A1,my school has a big playground where my friends and I play during break time
191,audio\A1_191.mp3,A1,I like to eat juicy Apples because they are sweet and refreshing
192,audio\A1_192.mp3,A1,every morning she brushes her teeth before eating breakfast
193,audio\A1_193.mp3,A1,Jane likes to paint pictures of Flowers in her free time
194,audio\A1_194.mp3,A1,I want to go to the beach to relax and swim in the clear blue water
195,audio\A1_195.mp3,A1,my friend works in a restaurant and enjoys serving customers
196,audio\A1_196.mp3,A1,at school we learn how to write our names with colorful crayons
197,audio\A1_197.mp3,A1,I like to eat apples because they are crispy and sweet
198,audio\A1_198.mp3,A1,every morning I brush my teeth before eating breakfast
199,audio\A1_199.mp3,A1,I like to read books and watch movies in my free time
2,audio\A1_2.mp3,A1,I like to take the bus when I go on vacation because it is a cheap way to travel
20,audio\A1_20.mp3,A1,I like to take the bus when I travel to new places
200,audio\A1_200.mp3,A1,she likes to take photos of famous landmarks when she travels
201,audio\A1_201.mp3,A1,I work in a school as a teacher
202,audio\A1_202.mp3,A1,my school bag is full of books pencils and a delicious sandwich for lunch
203,audio\A1_203.mp3,A1,I like to eat pizza with extra cheese and lots of pepperoni on top
204,audio\A1_204.mp3,A1,every morning she eats cereal for breakfast before going to school
205,audio\A1_205.mp3,A1,my friend likes to paint beautiful pictures in her free time
206,audio\A1_206.mp3,A1,I travel to the beach in the summer to relax and swim in the ocean
207,audio\A1_207.mp3,A1,I wash dishes at the restaurant every evening
208,audio\A1_208.mp3,A1,I like to read books in the school library during my free time
209,audio\A1_209.mp3,A1,I like to eat sandwiches with cheese and ham for lunch
21,audio\A1_21.mp3,A1,where he helps customers choose their favorite pastries
210,audio\A1_210.mp3,A1,every morning I drink a cup of tea while listening to my favorite song
211,audio\A1_211.mp3,A1,my favorite hobby is painting pictures of colorful flowers
